Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"A technology management, consulting and outsourcing company that provides management of servers, PCs and networks along with technical support to users of all levels.",In,Out,IT Services,Golliwogg,2009,3254899.25,352.00%,4944082.71
"A family-owned and operated professional security services firm that specializes in providing high quality armed and unarmed security officers to state and local governments, educational institutions and commercial properties throughout the mid-Atlantic region.",In,Out,Security,Overfrequency,2013,3262227.2,482.00%,9735773.12
"A full-service visual agency, specializing in infographics and data visualization. Its clients include Red Bull, Microsoft and GE.",In,Out,Advertising & Marketing,Thready,2002,3786778.64,329.00%,10999283.38
"Provides employers with project and permanent employees in the fields of IT, engineering, finance, accounting and administration.",In,Out,Human Resources,Alleluiatic,2005,2717232.93,485.00%,7923323.86
Purchases used wireless devices that still retain value and recycles all others at no charge through an e-Stewards certified facility.,Out,Out,Environmental Services,Lampadaire,2011,7655546.96,361.00%,11973936.96
"An engineering and design firm solely focused on the conceptualization, development and manufacture of high-quality, extreme environment LED lighting. It provides full engineering capabilities including a full electrical and optics lab.",In,Out,Manufacturing,Disney,2014,4649376.29,439.00%,6574545.81
"Provides a comprehensive, interactive video service that allows providers to improve performance and patient outcomes as well as offering education to patients, caregivers and families.",Out,Out,Health,Indicated,2011,5744504.38,444.00%,9214597.98
"Decypher Technologies provides IT services, training, and organization and strategy consulting for the Army, Navy, and other government entities. The company was ranked one of San Antonio's best places to work this year by the San Antonio Business Journal.",In,Out,IT Services,Unemancipated,2011,4415566.33,371.00%,10292359.16
"Provides a cloud based social platform designed specifically for senior housing providers that integrates social networking, distance learning and community menus and calendars.",Out,Out,Consumer Products & Services,Barest,2002,6270509.13,289.00%,8727308.13
"Sells surplus wholesale overstock and customer returns liquidation products from department stores and manufacturers including clothing, cosmetics and appliances.",In,Out,Business Products & Services,Repartition,2013,1117573.93,316.00%,10236792.52
"A WBENC-certified network of independent staffing companies throughout North America. It provides contingent workforce management, temporary and full-time staff augmentation and vendor management services.",In,Out,Human Resources,Obclavate,2011,2990441.62,331.00%,7859827.65
"An asset manager focused on income-producing equities and energy infrastructure companies. Its products include separately-managed accounts focused on broad dividend equities, utilities and MLPs.",In,Out,Financial Services,Tantalous,2011,879524.68,530.00%,7950946.55
"A family-owned and operated company dedicated to ensuring access to food made with certified organic, non-GMO ingredients that are free from synthetic pesticides, chemical fertilizers and antibiotics.",In,Out,Food & Beverage,Dolomitizing,2009,3516130.77,356.00%,6397853.28
"Manufactures a total artificial heart approved by the FDA, Health Canada, and CE. Originally used as a permanent replacement heart, the SynCardia Total Artificial Heart is now approved as a bridge to human heart transplant for people dying from end-stage biventricular failure.",In,Out,Health,Comatulid,2012,1110198.78,432.00%,9144081.96
A general contractor that works for telecommunications carriers and understands the complexities of implementing or maintaining telecommunications networks.,In,Out,Telecommunications,Kolozsv,2013,4321511.64,504.00%,11282386.35
"Provides secure and private access to information worldwide using a proprietary privacy, security and Web access platform. Its platform, Hotspot Shield, was used in Turkey to access Twitter after the government blocked access.",In,Out,Security,Supremeimpress,2002,4123466,434.00%,9187955.89
"Develops, implements and automates government and enterprise IT infrastructure and software.",In,Out,IT Services,Auctiongoogle,2011,187654.54,536.00%,10299827.07
"A technology-enabled third-party logistics provider, serving Fortune 500 companies to small distribution networks, with experience in virtually every industry.",Out,Out,Logistics & Transportation,Slumpeaster,2011,6605488.27,467.00%,12232950.55
A deep discount retailer that utilizes 24 hour daily deals and 48 hour flash sales to rapidly liquidate inventory.,In,Out,Retail,Fowlappraiser,2009,4638213.36,268.00%,8186375.8
"A network of more than 2,000 clinical consultants who assist medical device and diagnostic companies with new product launches, conversions, installs, maintenance and recalls.",In,Out,Health,Fixnummodus,2009,3042567.5,208.00%,9015237.66
"A professional alloy wheel reconditioning service that uses patented technology to fix cosmetic damage to alloy wheels such as curb rash, scrapes and minor gouges.",In,Out,Consumer Products & Services,Proficientpages,2013,3899068.19,516.00%,6241038.71
"Provides business process optimization, IT strategy, information security, technology staff training, vendor management, and international mission support to government customers.",In,Out,Government Services,Dullbocce,2010,4323160.29,486.00%,11210858.03
"A multi-media environmental consulting firm that serves the energy, refining, petrochemical and manufacturing industries.",Out,Out,Environmental Services,Comisbeard,2002,1638707.44,272.00%,3487834.99
"Provides consulting services to improve business systems, especially systems engineering.",Out,Out,Business Products & Services,Preferencehistorical,2010,5823472.17,267.00%,9662083
"Manufactures environmentally-friendly combination plastic and metal pipes used in plumbing and HVAC applications. Aquatherm can handle 180_F water and doesn't rust, corrode, or leach.",In,Out,Construction,Remembergabbro,2012,4515112.29,441.00%,10878578.46
"Manufactures high power, infrared laser diodes for military, industrial and medical applications. Its laser diodes produce higher power and electrical efficiency than traditional technology can produce.",In,Out,Engineering,Adaptiverolex,2012,2127870.74,423.00%,4885117.44
"A custom software development and SharePoint consulting firm that provides engineering applications, business-specific task automation and custom SharePoint implementations and enhancements.",In,Out,Software,Mincemeatcontroller,2010,1955490.48,275.00%,11188123.11
"Offers outsourced services for e-commerce retailers, including web design, proprietary e-commerce technology and customer care.",In,Out,Business Products & Services,Acutematrices,2011,1347472.04,325.00%,11000642.42
Owns and operates three community-focused and chef-driven restaurants.,In,Out,Food & Beverage,Largestugly,2010,4380184.27,348.00%,9768948.24
Provides customers contact services and high conversion sales and marketing programs to clients in multiple industries.,Out,Out,Advertising & Marketing,Renaloutspoken,2009,6902638.99,355.00%,4679889.98
